player_id,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
470796,520,2000-02-26,Defender,800000.0,800000.0,2025-06-30,2022,2000,22,3,4,6,0,3717,2,3,5,0,2415,1,4,6,0,3006,1,36,311.3500000000001,1,1,0,591,0,8,67.08749999999999,1,534.1397727272728,14.707657037139683
208552,2727,1996-07-18,Midfield,1800000.0,7500000.0,2027-06-30,2022,1996,26,10,40,28,0,14268,32,2,3,0,897,0,6,8,0,2990,3,46,310.55,4,5,0,2093,3,34,219.4558823529412,1,685.3578054298644,18.871479085935658
282897,2727,1994-03-30,Midfield,1300000.0,2000000.0,2025-06-30,2022,1994,28,4,2,23,1,4788,2,0,6,1,1613,1,1,18,1,3745,1,48,384.65208333333334,1,12,0,2132,0,27,222.1462962962963,1,799.1529927248678,22.00485479144887
331739,2727,1998-11-26,Attack,1800000.0,1800000.0,2025-06-30,2022,1998,24,6,23,32,0,7611,12,3,5,0,837,0,9,16,0,3257,4,51,340.08627450980396,5,10,0,2182,2,32,229.71875,1,739.898161764706,20.373259886793218
249568,2727,1997-08-19,Defender,350000.0,750000.0,2026-06-30,2022,1997,25,8,2,4,0,3200,5,0,1,0,251,0,0,1,0,1213,2,30,128.29333333333335,0,0,0,962,2,18,103.54444444444445,1,296.0484444444445,8.151759538585788
502247,2727,2001-06-07,Defender,2000000.0,2000000.0,2027-06-30,2022,2001,21,3,2,7,0,2810,8,1,6,0,1865,7,1,7,0,2090,7,26,218.63846153846154,0,1,0,225,0,3,30.05,1,358.0362637362637,9.858607882735908
447221,2727,1997-10-21,Defender,800000.0,7000000.0,2025-06-30,2022,1997,25,7,2,29,3,5970,5,0,5,0,1144,2,1,12,0,2191,4,39,226.06794871794872,1,6,0,655,2,14,70.32857142857144,1,409.4864945054945,11.275301391200609
140786,2727,1992-02-09,Defender,350000.0,700000.0,2025-06-30,2022,1992,30,6,4,20,1,6759,1,0,1,0,319,0,0,5,1,2455,0,37,254.2851351351351,0,4,1,2136,0,27,222.9111111111111,1,604.3788138138137,16.64170460233733
491298,2727,2000-10-10,Defender,1500000.0,2000000.0,2026-06-30,2022,2000,22,5,3,7,1,8081,1,0,0,0,1372,0,3,2,0,4007,1,55,413.2354545454546,3,1,0,2071,0,32,216.67187500000003,1,836.5705113636365,23.03515446097148
285322,2727,1994-12-01,Defender,1800000.0,3000000.0,2025-06-30,2022,1994,28,8,5,24,0,8255,5,0,2,0,1168,1,1,4,0,2176,1,34,226.55000000000004,1,2,0,999,0,20,106.44500000000001,1,446.3271428571429,12.28971680950081
310131,2727,1995-03-27,Attack,3000000.0,3000000.0,2026-06-30,2022,1995,27,6,16,18,1,5956,6,6,9,0,2360,4,13,13,0,4553,6,55,473.8281818181818,7,4,0,2193,2,27,232.52222222222224,1,943.3089393939395,25.974220735960664
249552,520,1997-02-05,Defender,700000.0,2000000.0,2025-06-30,2022,1997,25,8,3,11,0,5551,2,2,3,0,1165,1,3,6,0,2839,1,36,294.1361111111112,1,3,0,1674,0,21,176.77142857142857,1,618.0395952380953,17.0178572468442
410285,968,1998-07-04,Attack,900000.0,900000.0,2024-06-30,2022,1998,24,4,4,4,0,1602,2,1,0,0,171,0,3,2,0,609,0,17,66.98235294117647,2,2,0,438,0,15,48.720000000000006,1,149.22686274509803,4.108994742662335
59631,968,1989-08-02,Attack,2500000.0,15000000.0,2023-06-30,2022,1989,33,10,42,14,0,12540,26,2,0,0,609,1,6,3,0,2606,4,50,273.462,3,3,0,1324,2,26,141.34230769230768,1,551.5959137529137,15.18831574953285
260829,172,1996-07-18,Defender,1000000.0,1200000.0,2024-06-30,2022,1996,26,8,3,24,2,9013,5,0,3,0,1067,0,0,4,2,2695,2,39,278.9102564102564,0,0,1,1355,1,20,144.07500000000002,1,562.5019230769232,15.488615133647949
558727,968,2001-01-01,Midfield,2000000.0,2500000.0,2026-06-30,2022,2001,21,4,3,0,0,1475,2,0,0,0,99,0,3,0,0,1383,2,34,146.71764705882353,1,0,0,584,0,16,63.800000000000004,1,283.91456582633054,7.817650501293365
40478,968,1988-02-18,Midfield,300000.0,9000000.0,2023-06-30,2022,1988,34,10,11,40,0,17481,3,0,1,0,595,1,1,4,0,1306,1,23,138.37826086956522,1,3,0,711,0,10,78.91000000000001,1,286.53621483375963,7.889838187816219
464599,968,2000-03-17,Midfield,1200000.0,1200000.0,2026-06-30,2022,2000,22,6,2,6,1,4534,3,2,0,0,1240,2,2,2,1,3429,3,55,355.2345454545455,0,2,1,1675,0,29,175.72586206896554,1,708.6322257053292,19.512345407127153
80442,2727,1989-11-29,Defender,300000.0,500000.0,2024-06-30,2022,1989,33,4,7,8,0,5268,1,0,1,0,441,0,7,6,0,3764,0,56,387.57142857142867,4,3,0,2357,0,30,246.00666666666666,1,827.3880519480521,22.78231340561943
432958,968,1996-02-24,Midfield,2000000.0,2000000.0,2023-06-30,2022,1996,26,3,2,12,1,3913,2,0,1,0,508,0,1,11,1,3098,2,61,319.82868852459023,1,9,1,2378,2,42,246.81190476190477,1,726.578014471867,20.0064866785991
475208,968,2001-06-28,Defender,2500000.0,6000000.0,2023-06-30,2022,2001,21,3,2,3,0,2505,4,1,3,0,1046,3,2,3,0,2012,3,30,210.5566666666667,0,0,0,287,0,7,33.5,1,349.36357142857145,9.61980337769242
429915,968,2000-12-22,Defender,2500000.0,2500000.0,2023-06-30,2022,2000,22,4,7,4,0,2493,6,4,2,0,1603,6,4,2,0,1610,6,20,171.35000000000002,0,0,0,7,0,2,1.2500000000000002,1,258.3113636363637,7.112660653898409
655893,968,2003-05-06,Defender,1600000.0,3000000.0,2024-06-30,2022,2003,19,4,0,2,0,2430,1,0,1,0,995,0,0,1,0,1840,0,27,193.2648148148148,0,0,0,688,0,11,76.15454545454544,1,366.0938729399255,10.080475938173278
